,Building Semtex OFFICE (kWh)
0,-0.0014270011322139453
1,0.0071732149892866914
2,-0.015197211488768403
3,0.017271574313582505
4,-0.009842232455810063
5,-0.0011311921220666932
6,0.008990862587232584
7,-0.01395082001552339
8,0.01872330229291208
9,-0.023012921078091608
10,0.02696001359248612
11,-0.03813985037471923
12,0.061430831100196315
13,-0.07656386936313453
14,0.06493909138904286
15,-0.0420138184600134
16,0.009717306433728368
17,0.09805541670787221
18,-0.30896379590441825
19,0.45554017434523075
20,-0.42045878638099055
21,0.3560790026328
22,-0.3199762390134282
23,0.2027128550132744
24,-0.05207244167185365
25,-0.027416093482642623
26,0.04383520503029814
27,-0.028127566684055694
28,-0.01105858065468368
29,0.08423608647930791
30,-0.28291342979403566
31,0.6094876221508585
32,-0.5937140726554659
33,-0.09701310561782606
34,0.7638457577404125
35,-0.72482829935214
36,0.3861996067215401
37,-0.3638637055613074
38,0.6666860355999447
39,-0.7882369700581009
40,0.39593518238374514
41,0.0800097727769753
42,-0.17710921259153167
43,0.05034199561720243
44,0.06977349799264942
45,-0.2689792195092622
46,0.6000141926352498
47,-0.6465029895083987
48,0.1135526377170919
49,0.31805009110379245
50,-0.017044957574519515
51,-0.4601844577762435
52,0.4744125011295566
53,-0.25664155055714843
54,0.20238252131744616
55,-0.2987963398475415
56,0.18498313730692217
57,0.34119264196358046
58,-0.7743100488217678
59,0.6221912392047031
60,-0.15118635595388952
61,-0.2456932606735549
62,0.4217837651872145
63,-0.3412374972882404
64,0.17474820283522519
65,-0.10988819769747238
66,0.19820321493290294
67,-0.4159661112800066
68,0.5500298422656229
69,-0.4264515780829683
70,0.23897105159151621
71,-0.27291583482924153
72,0.5325736038475313
73,-0.6984237181637099
74,0.5429016749423994
75,-0.3093026848494702
76,0.26440742836035014
77,-0.292266781080059
78,0.24616187008196277
79,-0.24622875980325887
80,0.40014470429883175
81,-0.49325268312760073
82,0.3260074417105372
83,-0.08486403867013337
84,-0.003985341039175694
85,-0.05815055758987597
86,0.20249569798398426
87,-0.30222437406331437
88,0.2563948710971289
89,-0.16596435087869565
90,0.2018363818572766
91,-0.3645292283977781
92,0.3705722884105924
93,-0.028559287941639866
94,-0.31182693193931144
95,0.30202470950862903
96,-0.11997570924584977
97,-0.01149825833348217
98,0.1819680768353038
99,-0.4495201036112988
100,0.463284576080639
101,0.0346840784920488
102,-0.5323074281509648
103,0.5203705550015911
104,-0.27714214147178495
105,0.22774773120748648
106,-0.35806049518411953
107,0.24801906037518506
108,0.31820909397450947
109,-0.6234500111087939
110,0.05647470837344315
111,0.6288886013702637
112,-0.6248060203361163
113,0.27673494103036944
114,-0.0958742356119231
115,0.10373672472998408
116,-0.19494784875444537
117,0.24620910133210572
118,-0.17420202354126602
119,0.06579292305599438
120,-0.018647962602500456
121,0.00891886075947923
122,0.01650588218528526
123,-0.06414961666475705
124,0.09339043645683631
125,-0.07340379533903985
126,0.029483409010552464
127,0.006075635326396878
128,-0.03315053267326107
129,0.07366033278965745
130,-0.20523866744790098
131,0.47586073663224937
132,-0.7431350070073606
133,0.8260458727592876
134,-0.5928903562428189
135,0.014656813871667396
136,0.5785003106447348
137,-0.7815914998153701
138,0.512505563877788
139,-0.097616494342887
140,0.008001285092191779
141,-0.16287420839157107
142,0.1787556340545038
143,-0.07281159048746844
144,0.004035276243897101
145,0.02278326246708673
146,-0.032927187071571495
147,0.029214487440299308
148,0.0002062867110836919
149,-0.060900405578863115
150,0.10706764626161913
151,-0.09401283916807301
152,0.05286979614361087
153,-0.02380089252905293
154,-0.013643529088504636
155,0.08152239824332952
156,-0.1311401198175588
157,0.11044115732131843
158,-0.05345111300565719
159,0.009231389596195072
160,0.028755154489743973
161,-0.10614266813330886
162,0.23613461093267318
163,-0.29828824382226315
164,0.17679758862871253
165,0.09126858498342827
166,-0.4070930800958017
167,0.5736009265291742
168,-0.4594579990826446
169,0.2897323922886059
170,-0.29402880030622924
171,0.38106400584378264
172,-0.4147296502424922
173,0.36840315090025655
174,-0.24919545374886098
175,0.12405121051507706
176,-0.05778215858244096
177,0.032961837609065014
178,-0.018491835042908633
179,0.008667154526357024
180,-0.012401625228960711
181,0.06177998161054177
182,-0.256011704229671
183,0.6114598444661112
184,-0.7703262093329784
185,0.46237516287836655
186,-0.11344637749202491
187,0.15231082806216278
188,-0.34457544161528375
189,0.44126507657107794
190,-0.5552194477239603
191,0.6396382971403227
192,-0.5733145916988676
193,0.7198120990084718
194,-1.0047829998587332
195,0.5060100832154006
196,0.23873492017787612
197,0.03325949478908541
198,-0.5205482091905651
199,0.3668350228750512
200,-0.12035691760490153
201,0.05628390821642881
202,-0.03519432746502815
203,0.01866965780980223
204,0.003430677205443544
205,-0.03956016291564879
206,0.060648589935084374
207,0.007884909686389108
208,-0.11659431495411354
209,0.11980313840286527
210,-0.0376932736826987
211,-0.01821324164772875
212,0.0347273707949185
213,-0.04081866804021672
214,0.051073124101982614
215,-0.08854782764382563
216,0.23531978236769646
217,-0.496686308225776
218,0.5005165947204375
219,0.015040102050711823
220,-0.4895684745009419
221,0.38350944743542215
222,-0.05278571056049941
223,-0.05429744070595177
224,0.005518276387647347
225,0.036078970964211976
226,-0.04812666878913774
