,0
201,3.7040591596764086e-14
202,3.702479334794452e-14
203,3.700891890805289e-14
204,3.699296830975624e-14
205,3.6976941585878354e-14
206,3.696083876939963e-14
207,3.6944659893457095e-14
208,3.692840499134425e-14
209,3.6912074096511095e-14
210,3.689566724256397e-14
211,3.687918446326556e-14
212,3.686262579253475e-14
213,3.684599126444664e-14
214,3.6829280913232415e-14
215,3.6812494773279276e-14
216,3.6795632879130425e-14
217,3.6778695265484906e-14
218,3.676168196719762e-14
219,3.674459301927918e-14
220,3.672742845689592e-14
221,3.671018831536973e-14
222,3.669287263017805e-14
223,3.667548143695379e-14
224,3.6658014771485224e-14
225,3.664047266971593e-14
226,3.662285516774475e-14
227,3.660516230182565e-14
228,3.658739410836772e-14
229,3.6569550623935044e-14
230,3.6551631885246647e-14
231,3.653363792917641e-14
232,3.651556879275298e-14
233,3.649742451315977e-14
234,3.6479205127734766e-14
235,3.6460910673970544e-14
236,3.644254118951414e-14
237,3.642409671216701e-14
238,3.640557727988492e-14
239,3.638698293077789e-14
240,3.636831370311007e-14
241,3.634956963529978e-14
242,3.633075076591926e-14
243,3.6311857133694725e-14
244,3.629288877750624e-14
245,3.627384573638762e-14
246,3.6254728049526396e-14
247,3.623553575626369e-14
248,3.621626889609416e-14
249,3.6196927508665897e-14
250,3.617751163378036e-14
251,3.615802131139232e-14
252,3.613845658160971e-14
253,3.6118817484693596e-14
254,3.6099104061058095e-14
255,3.607931635127027e-14
256,3.6059454396050025e-14
257,3.6039518236270084e-14
258,3.6019507912955845e-14
259,3.5999423467285355e-14
260,3.5979264940589164e-14
261,3.595903237435028e-14
262,3.5938725810204066e-14
263,3.591834528993818e-14
264,3.589789085549243e-14
265,3.587736254895879e-14
266,3.5856760412581184e-14
267,3.583608448875551e-14
268,3.58153348200295e-14
269,3.579451144910263e-14
270,3.577361441882604e-14
271,3.5752643772202476e-14
272,3.573159955238614e-14
273,3.571048180268266e-14
274,3.568929056654898e-14
275,3.5668025887593244e-14
276,3.564668780957474e-14
277,3.562527637640382e-14
278,3.560379163214175e-14
279,3.55822336210007e-14
280,3.5560602387343573e-14
281,3.5538897975683977e-14
282,3.55171204306861e-14
283,3.549526979716463e-14
284,3.5473346120084663e-14
285,3.54513494445616e-14
286,3.542927981586104e-14
287,3.5407137279398776e-14
288,3.5384921880740545e-14
289,3.5362633665602095e-14
290,3.534027267984896e-14
291,3.531783896949649e-14
292,3.529533258070962e-14
293,3.527275355980289e-14
294,3.5250101953240316e-14
295,3.522737780763524e-14
296,3.520458116975031e-14
297,3.5181712086497326e-14
298,3.51587706049372e-14
299,3.5135756772279815e-14
300,3.5112670635883926e-14
301,3.50895122432571e-14
302,3.506628164205558e-14
303,3.5042978880084214e-14
304,3.501960400529633e-14
305,3.4996157065793675e-14
306,3.4972638109826275e-14
307,3.4949047185792356e-14
308,3.4925384342238254e-14
309,3.490164962785829e-14
310,3.4877843091494696e-14
311,3.4853964782137485e-14
312,3.483001474892439e-14
313,3.480599304114073e-14
314,3.478189970821931e-14
315,3.475773479974035e-14
316,3.4733498365431335e-14
317,3.4709190455166935e-14
318,3.468481111896895e-14
319,3.466036040700611e-14
320,3.4635838369594066e-14
321,3.461124505719523e-14
322,3.458658052041867e-14
323,3.4561844810020044e-14
324,3.453703797690148e-14
325,3.4512160072111434e-14
326,3.448721114684463e-14
327,3.4462191252441967e-14
328,3.443710044039035e-14
329,3.4411938762322646e-14
330,3.438670627001753e-14
331,3.4361403015399434e-14
332,3.4336029050538365e-14
333,3.431058442764987e-14
334,3.428506919909491e-14
335,3.4259483417379693e-14
336,3.4233827135155667e-14
337,3.420810040521934e-14
338,3.418230328051216e-14
339,3.4156435814120485e-14
340,3.4130498059275394e-14
341,3.410449006935261e-14
342,3.407841189787241e-14
343,3.405226359849947e-14
344,3.402604522504278e-14
345,3.399975683145555e-14
346,3.397339847183506e-14
347,3.394697020042257e-14
348,3.3920472071603225e-14
349,3.389390413990591e-14
