,0
140,3.775694178545891e-15
141,3.7754203475591556e-15
142,3.775144574270149e-15
143,3.774866858820747e-15
144,3.774587201353822e-15
145,3.774305602013246e-15
146,3.774022060943891e-15
147,3.773736578291628e-15
148,3.773449154203327e-15
149,3.773159788826854e-15
150,3.772868482311078e-15
151,3.772575234805863e-15
152,3.772280046462075e-15
153,3.771982917431574e-15
154,3.771683847867222e-15
155,3.771382837922879e-15
156,3.771079887753402e-15
157,3.7707749975146474e-15
158,3.770468167363468e-15
159,3.770159397457715e-15
160,3.76984868795624e-15
161,3.7695360390188906e-15
162,3.76922145080651e-15
163,3.768904923480943e-15
164,3.7685864572050286e-15
165,3.768266052142606e-15
166,3.767943708458511e-15
167,3.767619426318577e-15
168,3.767293205889632e-15
169,3.766965047339505e-15
170,3.76663495083702e-15
171,3.7663029165519986e-15
172,3.76596894465526e-15
173,3.765633035318617e-15
174,3.765295188714883e-15
175,3.764955405017867e-15
176,3.764613684402373e-15
177,3.764270027044201e-15
178,3.763924433120154e-15
179,3.7635769028080215e-15
180,3.763227436286596e-15
181,3.762876033735663e-15
182,3.762522695336005e-15
183,3.762167421269401e-15
184,3.761810211718626e-15
185,3.761451066867448e-15
186,3.761089986900635e-15
187,3.760726972003946e-15
188,3.760362022364138e-15
189,3.759995138168965e-15
190,3.7596263196071715e-15
191,3.759255566868501e-15
192,3.758882880143691e-15
193,3.7585082596244745e-15
194,3.758131705503577e-15
195,3.757753217974721e-15
196,3.757372797232625e-15
197,3.756990443472998e-15
198,3.756606156892546e-15
199,3.756219937688971e-15
200,3.755831786060965e-15
201,3.755441702208217e-15
202,3.75504968633141e-15
203,3.7546557386322195e-15
204,3.754259859313317e-15
205,3.7538620485783664e-15
206,3.753462306632024e-15
207,3.753060633679942e-15
208,3.7526570299287645e-15
209,3.7522514955861315e-15
210,3.751844030860672e-15
211,3.751434635962009e-15
212,3.751023311100763e-15
213,3.750610056488542e-15
214,3.750194872337951e-15
215,3.749777758862583e-15
216,3.749358716277027e-15
