Date,Temperature,Expected Energy Use (kWh)
2022-02-05 15:00:00,69.0,56.27827102353618
2022-02-05 16:00:00,69.0,55.3421732010396
2022-02-05 17:00:00,73.0,53.998310477233886
2022-02-05 18:00:00,73.0,52.57730041813528
2022-02-05 19:00:00,76.0,51.0077359981413
2022-02-05 20:00:00,78.0,49.70262974560112
2022-02-05 21:00:00,79.0,48.98928069893287
2022-02-05 22:00:00,68.0,49.50845041260815
2022-02-05 23:00:00,75.0,50.326148485266586
2022-02-06 00:00:00,77.0,52.05980181943541
2022-02-06 01:00:00,73.0,54.3465568174166
2022-02-06 02:00:00,73.0,56.33255316719468
2022-02-06 03:00:00,71.0,57.7630542290831
2022-02-06 04:00:00,73.0,58.190136089370995
2022-02-06 05:00:00,73.0,57.87016397896049
2022-02-06 06:00:00,75.0,56.9820364651688
2022-02-06 07:00:00,77.0,56.03676482599508
2022-02-06 08:00:00,81.0,55.35811318549222
2022-02-06 09:00:00,81.0,55.34167513387933
2022-02-06 10:00:00,82.0,55.74887860548032
2022-02-06 11:00:00,87.0,56.197372933601905
2022-02-06 12:00:00,69.0,57.24136118496885
2022-02-06 13:00:00,74.0,57.01639883551516
2022-02-06 14:00:00,78.0,56.21063108431918
2022-02-06 15:00:00,82.0,54.86240476118121
2022-02-06 16:00:00,80.0,53.4013038926752
2022-02-06 17:00:00,38.0,53.27239348258172
2022-02-06 18:00:00,53.0,51.44075246876524
2022-02-06 19:00:00,50.0,50.647789242722624
2022-02-06 20:00:00,46.0,50.42531218466031
2022-02-06 21:00:00,51.0,50.4838592585939
2022-02-06 22:00:00,55.0,51.17456589862822
2022-02-06 23:00:00,39.0,53.11401595265508
2022-02-07 00:00:00,44.0,54.816569455891006
2022-02-07 01:00:00,34.0,57.33429142042396
2022-02-07 02:00:00,37.0,59.46684050344059
2022-02-07 03:00:00,35.0,61.548854836392216
2022-02-07 04:00:00,42.0,62.87239467893713
2022-02-07 05:00:00,44.0,63.80232624050786
2022-02-07 06:00:00,43.0,64.31570542378213
2022-02-07 07:00:00,46.0,64.35012329328627
2022-02-07 08:00:00,58.0,63.95885778749911
2022-02-07 09:00:00,59.0,63.986480682024805
2022-02-07 10:00:00,63.0,63.978978742711256
2022-02-07 11:00:00,73.0,63.69451090510549
2022-02-07 12:00:00,75.0,63.36248613866132
2022-02-07 13:00:00,78.0,62.43089942860977
2022-02-07 14:00:00,75.0,61.00788730579324
2022-02-07 15:00:00,68.0,59.084587480638795
2022-02-07 16:00:00,50.0,57.1493651649421
2022-02-07 17:00:00,38.0,54.99793339142468
2022-02-07 18:00:00,50.0,52.40952640248086
2022-02-07 19:00:00,48.0,50.984069401468886
2022-02-07 20:00:00,54.0,50.1349129381282
2022-02-07 21:00:00,54.0,50.346459941447414
2022-02-07 22:00:00,59.0,51.13411573762129
2022-02-07 23:00:00,62.0,52.55877768590479
